 0.  0.  0. -1.  0.  0.  0.  0.  0., 7.9915
 1.  0. -1. -1.  0.  0.  0.  0.  0., 14.8456
 1.  1. -1. -1.  0.  0.  0.  0. -1., 13.8945
 1.  1. -1. -1.  1.  0. -1.  0. -1., 1
 0.  0.  0.  0. -1.  0.  0.  0.  0., 12.1843
 1.  0.  0.  0. -1.  0.  0.  0. -1., 10.4453
 1.  1.  0. -1. -1.  0.  0.  0. -1., 1
 1.  1. -1. -1.  0. -1.  0.  0.  0., -1
 1.  1. -1. -1.  1. -1. -1.  0.  0., 1
 1.  0.  0. -1. -1.  0.  0.  0.  0., 0.0463
 0.  0.  0.  0.  0.  0. -1.  0.  0., 11.4557
 1.  0. -1.  0.  0.  0. -1.  0.  0., 11.9037
 1.  1. -1.  0.  0.  0. -1.  0. -1., -1
 0. -1.  0.  0.  0.  0.  0.  0.  0., 10.0564
 1. -1.  0.  0.  0.  0. -1.  0.  0., 13.9635
 1. -1.  1.  0. -1.  0. -1.  0.  0., 0.0141
 1. -1.  1.  1. -1.  0. -1.  0. -1., 3
 1. -1.  0.  0. -1.  0.  0.  0.  0., 0.0482
 1. -1.  1.  0. -1.  0.  0.  0. -1., 0.0453
 0.  0.  0.  0.  0. -1.  0.  0.  0., 10.8992
 1.  0.  0. -1.  0. -1.  0.  0.  0., 0.0
 0.  0.  0.  0.  0.  0.  0.  0. -1., 12.428
 1.  0. -1.  0.  0.  0.  0.  0. -1., 14.3559
 1.  1. -1.  0.  0.  0.  0. -1. -1., -0.9801
 1. -1.  1.  0.  0.  0. -1.  0. -1., 0.004
 1. -1.  1.  1.  0. -1. -1.  0. -1., 3
 0.  0. -1.  0.  0.  0.  0.  0.  0., 13.5757
 1.  1. -1. -1.  0.  0.  0. -1.  0., 16.0186
 1.  1. -1. -1.  1. -1.  0. -1.  0., 1
 1.  0.  0. -1.  0.  0.  0.  0. -1., 11.6665
 1.  1.  0. -1.  0.  0.  0. -1. -1., 1
 1.  1. -1. -1.  0. -1. -1.  0.  1., 1
 1. -1.  0.  1. -1. -1.  0.  0.  0., 1
 1.  0. -1.  0.  0.  0.  0. -1.  0., 16.366
 1.  1. -1.  0. -1.  0.  0. -1.  0., 0.0136
-1.  0.  0.  0.  0.  0.  0.  0.  0., 11.0122
-1.  1.  0. -1.  0.  0.  0.  0.  0., 12.8
-1.  1.  1. -1.  0. -1.  0.  0.  0., -0.9415
 0.  1.  0.  0. -1.  0. -1.  0.  0., 0.594
 1.  1.  0.  0. -1. -1. -1.  0.  0., 1
 1. -1.  0.  1. -1.  0. -1.  0.  0., -1
 1.  0.  0. -1.  0.  0. -1.  0.  0., 12.7055
 1.  1.  0. -1. -1.  0. -1.  0.  0., 1
 1. -1.  0. -1.  0.  0.  0.  0.  0., 9.4165
 1. -1.  1. -1.  0. -1.  0.  0.  0., 0.0511
 1. -1.  1. -1.  1. -1.  0. -1.  0., 1
-1.  1.  0.  0. -1.  0.  0.  0.  0., 12.4348
 1.  0.  0. -1.  0.  0.  0. -1.  0., 6.6298
 0.  0.  1.  0. -1.  0. -1.  0.  0., 0.594
